area,category_id,id,image_id,bbox_x,bbox_y,bbox_w,bbox_h
25728,1899,3187,839,158,249,201,128
40590,33207,3185,840,178,269,205,198
44075,33207,3184,838,589,800,215,205
42400,33207,3183,839,616,835,212,200
57348,16547,3182,840,122,861,243,236
51975,16547,3180,838,593,163,231,225
53562,16547,3181,839,621,168,237,226
189526,25366,1817,480,543,675,386,491
182952,25366,1818,478,81,96,378,484
36695,27776,1811,479,145,776,179,205
34300,27776,1812,480,638,296,175,196
35175,27776,1810,478,179,812,175,201
44164,36636,1814,479,637,175,181,244
48768,36636,1815,480,129,829,192,254
46189,36636,1813,478,665,181,187,247
60116,3482,1819,479,539,778,266,226
57860,3482,1821,480,174,275,263,220
58830,3482,1820,478,565,812,265,222
336600,1899,4797,1256,645,830,170,198
30996,1899,4799,1257,185,254,164,189
30178,1899,4798,1255,167,244,158,191
103456,31704,4791,1256,132,127,244,424
113703,31704,4792,1257,621,731,251,453
115164,31704,4793,1255,598,693,252,457
24174,19606,4790,1257,175,895,158,153
25599,19606,4788,1255,142,862,161,159
150304,16550,4796,1256,91,665,308,488
142846,16550,4795,1257,598,104,302,473
135952,16550,4794,1255,568,90,293,464
36864,3350,169,43,375,888,192,192
33306,3350,171,45,414,213,182,183
44275,13899,166,43,190,297,175,253
45843,13899,168,45,620,764,177,259
50850,29666,163,43,606,280,226,225
50398,29666,165,45,137,812,226,223
54755,29666,164,44,93,722,233,235
18492,23202,700,184,209,314,134,138
19321,23202,701,185,628,822,139,139
44944,3543,703,184,629,886,212,212
40200,3543,704,185,142,171,201,200
43890,4542,699,184,149,915,209,210
41820,4542,697,186,628,145,205,204
51060,16547,694,184,594,292,230,222
53580,16547,696,186,167,780,235,228
77837,5093,5314,1397,135,829,277,281
71288,5093,5313,1396,525,163,268,266
81795,5093,5315,1398,135,844,285,287
107256,2482,5323,1397,638,62,218,492
105750,2482,5322,1398,626,101,225,470
159249,19551,5321,1397,105,124,327,487
156325,19551,5320,1396,508,598,325,481
159239,19551,5319,1398,110,150,323,493
115038,13394,5318,1397,633,676,231,498
112984,13394,5316,1396,80,80,232,487
126936,13394,5317,1398,640,675,246,516
33048,1899,1872,494,587,829,204,162
32028,1899,1870,495,613,861,204,157
30906,1899,1871,493,185,292,202,153
32757,21025,1874,494,91,832,183,179
32037,21025,1875,495,125,865,181,177
30967,21025,1873,493,684,274,179,173
23560,19606,1869,494,135,212,155,152
24021,19606,1868,495,151,219,157,153
52640,16547,1866,495,622,143,235,224
35432,1899,4707,1236,643,855,206,172
31785,1899,4709,1235,152,254,195,163
30807,1899,4708,1234,135,244,189,163
76703,33008,4711,1236,87,255,367,209
73854,33008,4712,1235,550,838,373,198
80640,33008,4710,1234,519,792,384,210
34762,21770,4715,1236,638,316,191,182
36480,21770,4714,1234,129,768,192,190
58800,16547,4706,1236,121,884,245,240
54720,16547,4705,1235,620,145,240,228
52891,16547,4704,1234,592,140,233,227
85560,27732,1614,429,132,776,310,276
89958,27732,1612,428,94,733,319,282
79426,27732,1613,427,558,258,302,263
49203,29666,1611,429,665,180,231,213
46640,29666,1609,428,637,177,220,212
53130,29666,1610,427,89,862,231,230
57132,3482,1616,428,580,758,276,207
53658,3482,1617,427,122,309,271,198
167171,34596,1608,429,73,159,479,349
171550,34596,1607,428,57,125,470,365
189720,34596,1606,427,435,730,510,372
46161,27652,3099,817,94,852,223,207
44200,27652,3100,818,671,255,221,200
150103,30307,3107,819,81,140,367,409
34034,16231,3108,819,621,222,187,182
38407,16231,3110,818,141,845,199,193
47595,3482,3102,817,585,845,285,167
50112,3482,3104,819,558,812,288,174
48300,3482,3103,818,131,288,276,175
138648,29344,3541,931,575,716,327,424
139750,29344,3542,932,550,679,325,430
26000,1899,3531,931,179,269,130,200
27040,1899,3533,933,688,806,130,208
25110,19606,3539,931,164,918,162,155
24327,19606,3538,933,667,252,159,153
25440,19606,3537,932,133,886,160,159
137690,16550,3536,933,25,738,490,281
128908,16550,3535,932,452,219,481,268
35717,3350,4377,1147,363,877,187,191
34034,3350,4378,1148,385,161,182,187
33670,3350,4379,1149,426,221,185,182
75628,41767,4371,1147,130,294,259,292
84152,41767,4373,1149,595,720,268,314
35910,16231,4374,1147,590,306,190,189
37830,16231,4375,1148,148,730,194,195
93765,25468,4441,1166,575,191,329,285
106704,25468,4440,1165,51,786,351,304
197208,25366,4437,1166,569,681,396,498
190957,25366,4439,1167,45,86,397,481
178600,25366,4438,1165,31,72,380,470
44796,36636,4444,1167,675,173,174,254
41990,36636,4443,1165,645,171,170,247
51952,3482,4435,1166,126,271,272,191
52173,3482,4436,1167,602,845,279,187
53847,3482,4434,1165,575,811,279,193
29118,1899,1475,391,608,899,211,138
30740,1899,1474,393,581,866,212,145
42612,33207,1468,391,125,167,212,201
45998,33207,1469,392,657,901,218,211
32396,21025,1478,391,125,865,182,178
32578,21025,1479,393,91,832,182,179
31140,21025,1477,392,683,274,180,173
137085,16550,1473,391,587,58,285,481
130480,16550,1472,393,556,51,280,466
146615,16550,1471,392,113,703,295,497
93613,35205,1785,471,573,120,247,379
109200,35205,1783,470,122,734,273,400
89880,27732,1776,471,86,729,321,280
87492,27732,1774,469,123,768,317,276
80668,27732,1775,470,565,262,301,268
40600,28762,1782,471,135,212,203,200
42000,28762,1780,469,153,223,210,200
47300,28762,1781,470,631,846,220,215
58236,3482,1778,471,580,758,276,211
57330,3482,1777,469,610,791,273,210
54400,3482,1779,470,121,307,272,200
35150,3350,792,209,377,183,185,190
41615,3350,791,208,178,249,205,203
44726,31862,789,209,559,786,209,214
42642,31862,790,210,596,875,206,207
41615,31862,788,208,178,249,205,203
54288,29666,786,209,120,662,234,232
50624,29666,787,210,165,750,226,224
51529,29666,785,208,580,336,227,227
227480,16687,439,118,419,82,440,517
34960,3350,443,119,295,192,184,190
36480,3350,442,118,457,846,190,192
50808,13899,446,119,653,708,232,219
162846,12777,4014,1058,85,114,327,498
168840,12777,4015,1059,538,624,335,504
95920,4377,4020,1059,80,100,218,440
113088,2482,4017,1058,600,105,248,456
109272,2482,4018,1057,617,65,232,471
112547,2482,4019,1059,86,677,241,467
64770,25437,4011,1057,111,828,254,255
62965,25437,4013,1059,571,186,245,257
89880,27732,3430,905,87,728,321,280
87532,27732,3429,904,123,767,316,277
80332,27732,3431,906,565,261,302,266
130752,30307,3434,905,143,45,288,454
141075,30307,3432,904,162,53,297,475
47508,20237,3436,905,614,186,222,214
57684,3482,3439,905,579,760,276,209
58575,3482,3438,904,608,790,275,213
54471,3482,3440,906,122,306,271,201
130232,29344,2891,760,90,709,292,446
112739,29344,2889,762,584,135,277,407
124237,29344,2890,761,127,751,283,439
25273,1899,2892,760,160,259,127,199
27930,1899,2893,762,687,805,133,210
26331,1899,2894,761,178,268,131,201
43860,33207,2888,760,657,805,215,204
39788,33207,2886,762,114,273,203,196
57599,16547,2885,762,140,819,239,241
54000,16547,2884,761,609,213,240,225
75900,20876,5164,1356,116,768,330,230
79376,20876,5163,1355,86,725,328,242
157552,30307,5157,1356,92,56,344,458
141760,30307,5159,1355,81,44,320,443
162624,30307,5158,1354,578,739,352,462
45431,36636,5160,1356,634,208,181,251
43365,36636,5162,1355,606,204,177,245
48128,36636,5161,1354,168,800,188,256
56816,3482,5156,1356,650,750,212,268
109760,12080,2606,685,643,705,245,448
96276,12080,2605,686,69,116,226,426
117000,12080,2604,687,652,709,250,468
159430,6191,2599,686,556,656,298,535
154521,6191,2598,687,104,39,291,531
135900,2482,2596,686,71,650,300,453
134200,2482,2597,687,565,149,305,440
65024,25437,2603,685,119,820,256,254
62484,25437,2601,686,561,195,246,254
69687,25437,2602,687,120,831,261,267
112896,27925,811,216,609,160,252,448
130606,27925,810,214,91,608,266,491
127775,27925,809,215,126,666,269,475
28620,1899,808,216,629,895,212,135
25400,1899,806,214,142,241,200,127
41600,33207,812,216,177,269,208,200
43026,33207,814,215,615,834,213,202
149700,16550,815,216,99,693,300,499
135752,16550,816,215,597,65,284,478
102500,22361,2952,776,591,742,250,410
101092,22361,2953,775,101,102,254,398
108711,22361,2954,777,598,744,257,423
114716,2482,2944,776,604,83,241,476
123066,2482,2943,775,80,659,258,477
103040,2482,2945,777,600,120,224,460
165066,19551,2951,776,97,95,366,451
168516,19551,2950,775,489,656,372,453
162089,19551,2949,777,98,131,361,449
65025,25437,2947,776,145,844,255,255
61746,25437,2948,775,536,176,246,251
70470,25437,2946,777,146,855,261,270
80400,27732,1977,525,565,261,300,268
89880,27732,1976,524,86,729,321,280
87492,27732,1975,523,123,768,317,276
38024,16231,1983,525,142,892,196,194
34034,16231,1982,524,621,177,187,182
35280,16231,1981,523,645,185,196,180
40788,28762,1980,524,127,193,206,198
42630,28762,1979,523,144,201,210,203
54400,3482,1986,525,122,306,272,200
57266,3482,1985,524,579,760,274,209
58236,3482,1984,523,607,790,276,211
127368,27925,287,77,572,629,261,488
123420,27925,288,78,602,674,255,484
119016,27925,286,76,145,144,261,456
25146,1899,281,77,142,242,198,127
25326,1899,282,78,158,251,201,126
28968,1899,280,76,629,893,213,136
36855,21770,283,77,125,775,195,189
35717,21770,285,78,158,811,191,187
34390,21770,284,76,643,312,190,181
53118,16547,291,77,609,174,234,227
54026,16547,290,78,639,180,238,227
57596,16547,289,76,108,847,242,238
117196,35205,1374,366,531,715,353,332
115375,35205,1372,364,99,255,355,325
123783,35205,1373,365,487,624,363,341
95381,32309,1377,366,135,762,253,377
98136,32309,1376,365,89,666,261,376
33672,3350,1371,366,382,229,183,184
36855,3350,1369,364,408,855,189,195
33294,3350,1370,365,342,172,179,186
101260,35205,3958,1043,514,605,244,415
94872,35205,3957,1042,192,186,236,402
33670,3350,3962,1044,354,227,185,182
36099,3350,3960,1042,436,856,189,191
95121,18356,3956,1044,94,724,271,351
95495,18356,3955,1043,51,625,269,355
89577,18356,3954,1042,607,221,269,333
169646,12777,1531,408,127,91,313,542
164850,12777,1532,407,126,74,314,525
155918,12777,1533,406,506,606,301,518
111222,3742,1535,408,129,844,333,334
104006,3742,1534,407,128,833,322,323
94550,3742,1536,406,486,118,310,305
106898,2482,1528,408,656,108,226,473
104760,2482,1530,407,665,75,216,485
99015,2482,1529,406,62,655,205,483
129265,13394,1527,408,643,672,251,515
115620,13394,1526,407,637,675,235,492
111840,13394,1525,406,75,88,233,480
45150,22346,1492,397,684,864,215,210
40768,22346,1494,399,101,208,208,196
39780,22346,1493,398,85,199,204,195
80332,27732,1499,397,565,262,302,266
87216,27732,1498,399,122,768,316,276
90482,27732,1500,398,86,728,322,281
54400,3482,1496,397,121,306,272,200
57330,3482,1497,399,609,791,273,210
57750,3482,1495,398,579,759,275,210
60507,16261,1501,397,151,803,249,243
56608,16261,1503,399,590,226,244,232
54000,16261,1502,398,563,220,240,225
105328,12080,1347,356,643,688,232,454
115866,12080,1345,357,650,693,246,471
97180,12080,1346,355,72,127,226,430
77562,5093,1340,356,104,799,279,278
82082,5093,1341,357,108,811,286,287
150000,23222,1337,356,98,112,300,500
151604,23222,1338,357,97,143,302,502
152912,23222,1336,355,540,593,304,503
101556,2482,1344,357,626,68,217,468
117600,2482,1343,355,60,695,245,480
35154,3350,2363,623,351,145,186,189
34596,3350,2364,624,393,206,186,186
76180,41767,2359,622,130,293,260,293
35532,22073,2356,622,612,291,188,189
34969,22073,2358,624,170,839,187,187
34968,12419,4948,1299,84,823,188,186
34038,12419,4949,1298,118,860,186,183
31304,12419,4947,1297,690,275,182,172
39195,3543,4950,1299,124,143,201,195
41818,3543,4951,1298,141,145,206,203
46008,3543,4952,1297,644,921,216,213
41400,4542,4943,1299,589,166,207,200
45154,4542,4941,1297,157,892,214,211
56635,16547,4944,1299,589,791,241,235
54520,16547,4945,1298,618,828,235,232
37180,19860,854,226,126,865,220,169
40356,19860,856,228,91,827,228,177
37449,19860,855,227,638,278,219,171
38800,22346,859,228,93,221,200,194
45136,22346,858,227,675,840,217,208
49486,20237,851,226,643,188,227,218
47294,20237,853,228,615,185,221,214
51528,20237,852,227,113,856,228,226
60060,3482,862,226,600,869,260,231
60227,3482,861,228,572,838,263,229
54366,3482,860,227,151,219,246,221
36863,3350,1049,280,410,865,191,193
34965,3350,1050,281,339,171,185,189
32942,3350,1051,282,382,231,182,181
138453,3831,1055,280,433,279,399,347
142800,3831,1056,281,109,580,400,357
139788,3831,1057,282,151,677,396,353
37245,16231,1053,281,621,748,191,195
35908,16231,1054,282,656,839,191,188
72086,5093,1555,414,551,191,271,266
77837,5093,1557,413,104,800,281,277
101835,2482,1554,412,626,70,219,465
121412,2482,1553,414,56,696,254,478
119163,2482,1552,413,628,36,253,471
154802,19551,1549,412,114,190,314,493
150060,19551,1551,414,521,552,305,492
153384,19551,1550,413,115,158,308,498
33672,3350,3053,804,395,216,184,183
37248,3350,3051,802,394,884,192,194
34408,3350,3052,803,354,158,184,187
40996,13899,3047,804,656,741,148,277
41192,13899,3045,802,173,299,152,271
41550,13899,3046,803,619,653,150,277
34408,22073,3050,804,194,821,184,187
34780,22073,3048,802,591,302,185,188
36084,22073,3049,803,153,728,186,194
86112,27732,1234,330,130,775,312,276
89958,27732,1235,329,93,733,319,282
207111,31884,1230,330,102,74,393,527
205738,31884,1228,328,515,642,386,533
194556,31884,1229,329,88,55,372,523
43940,36636,1231,330,621,208,260,169
48420,36636,1232,328,100,880,269,180
41664,36636,1233,329,594,205,248,168
57540,3482,1238,330,608,791,274,210
54400,3482,1239,328,122,306,272,200
58236,3482,1237,329,579,759,276,211
82243,25468,3947,1041,570,232,379,217
84315,25468,3945,1040,11,813,385,219
82060,25468,3946,1039,52,857,373,220
42400,28762,3943,1040,108,205,212,200
43026,28762,3942,1039,126,216,213,202
51030,3482,3952,1041,126,272,270,189
54233,3482,3951,1040,575,811,281,193
60742,16261,3948,1041,166,833,251,242
54492,16261,3949,1040,546,189,239,228
57318,16261,3950,1039,573,194,246,233
34770,3350,1919,509,330,166,183,190
37245,3350,1918,508,419,871,191,195
33855,3350,1920,510,370,227,185,183
37050,22073,1922,509,589,780,190,195
35344,22073,1923,510,627,872,188,188
129720,18146,1926,510,90,699,345,376
86411,35205,4195,1102,586,111,221,391
92690,35205,4194,1104,615,116,230,403
101016,35205,4196,1103,136,727,244,414
106050,25468,4200,1102,52,786,350,303
103586,25468,4201,1104,87,829,343,302
94094,25468,4202,1103,573,191,329,286
152205,30307,4191,1102,6,155,417,365
158844,30307,4193,1104,18,177,427,372
158250,30307,4192,1103,553,708,422,375
54040,3482,4198,1102,575,811,280,193
51799,3482,4197,1104,603,845,277,187
51408,3482,4199,1103,125,272,272,189
36084,3350,732,194,362,199,186,194
33855,3350,733,195,404,266,185,183
51912,13899,735,194,555,706,206,252
49245,13899,736,195,594,799,201,245
45901,13899,734,193,191,284,197,233
38880,21324,730,194,168,665,160,243
36729,21324,731,195,209,754,159,231
34960,21324,729,193,608,324,152,230
35720,3350,5349,1405,335,169,188,190
36670,3350,5348,1406,411,869,190,193
33120,3350,5350,1407,380,232,184,180
129480,33879,5346,1406,558,195,309,420
67056,38161,5352,1405,564,696,254,264
62009,38161,5351,1406,129,269,251,259
61965,38161,5353,1407,606,793,243,255
36100,3350,3141,826,407,863,190,190
35526,3350,3142,827,339,174,186,191
62499,38161,3140,828,553,864,249,251
68117,38161,3139,827,511,766,259,263
125256,18146,3137,828,129,574,307,408
118116,18146,3135,826,538,322,306,386
129514,18146,3136,827,85,487,319,406
92214,25468,4266,1121,575,192,327,282
104100,25468,4267,1122,83,831,347,300
106554,25468,4268,1120,49,787,354,301
52670,29666,4274,1121,138,871,230,229
48391,29666,4273,1122,620,174,223,217
46224,29666,4272,1120,594,171,216,214
47736,28762,4264,1121,622,859,221,216
44290,28762,4265,1122,156,204,215,206
41790,28762,4263,1120,140,196,210,199
52820,3482,4270,1122,601,844,278,190
54040,3482,4269,1120,575,812,280,193
105985,12080,2719,715,99,708,235,451
115168,12080,2718,716,608,712,244,472
103360,3742,2709,715,118,786,323,320
117110,2482,2712,715,593,70,245,478
110432,2482,2714,716,558,100,232,476
161868,19551,2717,715,95,104,329,492
161200,19551,2715,717,523,606,325,496
160056,19551,2716,716,99,136,324,494
96798,4377,5532,1456,80,101,221,438
106116,4377,5531,1457,653,702,222,478
153918,23222,5534,1456,560,537,306,503
147609,23222,5536,1457,77,202,297,497
113270,2482,5538,1456,85,675,241,470
113867,2482,5537,1457,602,101,247,461
109968,2482,5539,1458,618,64,232,474
63726,25437,5528,1456,570,186,247,258
69948,25437,5529,1457,112,842,261,268
65025,25437,5530,1458,111,828,255,255
46842,27652,4231,1111,62,810,222,211
45747,27652,4232,1112,95,853,221,207
45000,27652,4230,1113,668,255,225,200
46872,29666,4237,1111,605,176,217,216
47936,29666,4236,1112,632,180,224,214
52437,29666,4238,1113,124,866,231,227
41600,28762,4227,1111,116,188,208,200
42400,28762,4228,1112,134,197,212,200
48564,28762,4229,1113,643,871,228,213
47595,3482,4234,1112,585,846,285,167
48024,3482,4235,1113,132,288,276,174
40356,19860,1938,513,89,827,228,177
37570,19860,1936,512,124,864,221,170
176436,25366,1933,513,29,17,377,468
186331,25366,1935,512,41,28,389,479
193936,25366,1934,511,575,744,391,496
40092,36636,1929,513,593,193,257,156
39900,36636,1928,512,619,201,266,150
59998,3482,1931,513,571,840,262,229
60580,3482,1932,512,598,867,260,233
54120,3482,1930,511,153,220,246,220
80332,27732,1579,419,565,262,302,266
91126,27732,1581,420,86,726,322,283
87255,27732,1580,418,124,766,315,277
195363,25366,1582,419,534,736,441,443
188580,25366,1584,418,12,93,449,420
49932,20237,1577,418,643,188,228,219
55074,3482,1574,419,121,306,274,201
57057,3482,1575,420,580,760,273,209
57330,3482,1573,418,609,792,273,210
44178,27652,1696,450,670,256,222,199
47488,27652,1698,448,62,809,224,212
46384,27652,1697,449,95,852,223,208
49206,3482,1701,450,130,288,278,177
50225,3482,1699,448,560,811,287,175
47808,3482,1700,449,586,844,288,166
196107,34596,1692,450,571,624,393,499
179334,34596,1690,448,33,96,369,486
183160,34596,1691,449,47,130,380,482
61244,16261,1693,450,116,845,251,244
53808,16261,1694,448,594,178,236,228
176784,25366,653,172,110,61,348,508
177320,25366,652,174,548,682,341,520
44622,27652,648,174,671,255,222,201
47085,29666,655,173,604,176,219,215
48150,29666,656,172,631,180,225,214
50050,3482,650,173,559,811,286,175
47595,3482,651,172,585,846,285,167
48752,3482,649,174,131,287,277,176
53106,27992,3032,798,523,889,334,159
51840,27992,3030,796,151,254,324,160
53790,27992,3031,797,498,855,330,163
46221,3543,3026,796,619,868,217,213
42636,4542,3029,798,629,191,209,204
44943,4542,3027,796,146,867,213,211
146797,16550,3023,798,69,575,313,469
137555,16550,3021,796,616,241,305,451
126910,27925,3628,955,571,628,259,490
120321,27925,3629,957,144,141,261,461
25600,1899,3624,955,143,241,200,128
25781,1899,3625,956,158,249,203,127
25280,19606,3633,955,109,828,160,158
24009,19606,3634,957,687,298,159,151
128007,16550,3630,955,571,0,297,431
155840,16550,3632,957,75,784,320,487
44304,22346,5575,1465,667,887,213,208
41193,22346,5573,1467,121,183,207,199
44600,27652,5567,1465,670,255,223,200
45954,27652,5568,1467,95,852,222,207
48198,3482,5570,1465,131,287,277,174
47144,3482,5571,1467,586,846,284,166
50750,3482,5572,1466,557,811,290,175
60016,16261,5564,1465,117,847,248,242
55680,16261,5566,1467,624,182,240,232
52658,16261,5565,1466,597,180,233,226
101178,12080,825,219,108,103,231,438
115866,12080,826,218,606,712,246,471
155808,6191,822,218,127,148,288,541
148730,6191,821,217,131,126,278,535
107912,3742,827,218,119,797,329,328
103675,3742,829,217,117,787,325,319
110916,2482,819,218,586,101,234,474
119054,2482,818,217,590,70,247,482
116874,27925,3841,1013,146,145,258,453
122220,27925,3842,1014,600,673,252,485
25728,1899,3848,1014,158,251,201,128
53820,24849,3849,1012,142,701,180,299
56882,16547,3845,1013,105,866,239,238
51060,16547,3843,1012,612,160,230,222
53536,16547,3844,1014,639,165,239,224
35910,12419,124,33,627,814,190,189
32760,12419,125,32,166,277,182,180
80808,6562,117,33,163,672,222,364
77760,6562,115,31,197,714,216,360
40596,3543,120,33,96,231,204,199
45792,3543,118,32,673,827,216,212
40795,3543,119,31,115,241,205,199
131670,16550,123,33,559,46,285,462
147882,16550,122,32,110,703,294,503
33488,3350,3716,981,435,216,184,182
36481,3350,3714,980,353,873,191,191
34776,22073,3713,981,623,802,184,189
37224,22073,3711,979,585,707,188,198
35343,22073,3712,980,170,313,187,189
92960,18356,3719,981,118,647,280,332
35720,3350,3567,940,422,900,188,190
36290,16231,3572,942,134,801,191,190
36288,16231,3570,940,644,323,192,189
96360,18146,3574,941,515,554,219,440
47686,27652,2299,606,63,811,226,211
43382,27652,2300,604,670,255,218,199
46368,27652,2301,605,96,853,224,207
44770,36636,2294,606,616,203,185,242
50115,36636,2293,604,151,802,195,257
47368,36636,2295,605,644,208,191,248
40986,28762,2298,606,129,239,207,198
46842,28762,2296,604,631,819,222,211
42833,28762,2297,605,147,249,211,203
49824,3482,2292,606,559,812,288,173
47748,3482,2290,604,131,289,276,173
44928,22346,1264,337,640,836,216,208
41808,22346,1266,339,145,234,208,201
103243,25468,1275,339,85,831,343,301
105000,25468,1273,338,51,787,350,300
42066,36636,1268,338,644,171,171,246
51219,3482,1271,337,126,271,271,189
52353,3482,1270,339,602,845,277,189
53952,3482,1272,338,575,812,281,192
35532,3350,4501,1181,351,125,188,189
33480,3350,4502,1182,392,185,186,180
40800,21324,4498,1181,587,693,170,240
39546,21324,4499,1182,626,782,169,234
37575,21324,4497,1180,191,307,167,225
91848,19231,4495,1181,100,704,344,267
87316,19231,4496,1182,147,807,332,263
84224,19231,4494,1180,496,233,329,256
34595,3350,4831,1268,321,172,185,187
33306,3350,4832,1269,361,234,182,183
44176,13899,4834,1267,190,299,176,251
48420,13899,4833,1268,578,671,180,269
46102,13899,4835,1269,619,765,178,259
50218,36636,4836,1267,541,302,211,238
51516,36636,4837,1268,177,681,212,243
31243,1899,4686,1229,151,255,199,157
29952,1899,4687,1230,133,245,192,156
34736,1899,4688,1228,642,856,208,167
73854,33008,4690,1229,550,838,373,198
79629,33008,4689,1230,519,791,381,209
76494,33008,4691,1228,88,255,366,209
24645,19606,4681,1229,171,821,159,155
25120,19606,4682,1230,140,787,160,157
23550,19606,4680,1228,662,333,157,150
55615,16547,4685,1229,646,166,245,227
52206,16547,4684,1230,620,159,231,226
76494,16547,4683,1228,88,255,366,209
40179,19860,1992,528,92,828,227,177
144304,30307,1988,527,142,72,311,464
149778,30307,1987,526,546,712,318,471
134541,30307,1989,528,130,64,297,453
54340,3482,1996,526,151,219,247,220
56826,16261,1993,527,638,176,246,231
54492,16261,1995,528,610,173,239,228
196578,25366,596,158,480,682,402,489
34496,27776,590,158,639,292,176,196
35000,27776,591,159,177,813,175,200
37080,27776,589,157,144,778,180,206
58386,3482,600,158,173,273,263,222
58300,3482,599,159,566,815,265,220
60568,3482,598,157,537,780,268,226
62496,16261,592,158,137,831,252,248
56376,16261,593,159,603,192,243,232
53808,16261,594,157,577,189,236,228
30528,1899,2164,571,580,867,212,144
28770,1899,2166,573,609,899,210,137
28078,1899,2165,572,189,273,202,139
30621,21025,2171,572,685,275,177,173
51985,24849,2174,571,118,140,185,281
145237,16550,2169,573,568,62,311,467
40762,19860,2245,590,90,827,229,178
37449,19860,2247,591,638,277,219,171
37740,19860,2246,589,126,864,222,170
163480,25366,2242,590,11,94,335,488
177132,25366,2243,591,627,647,348,509
170724,25366,2244,589,27,115,347,492
59964,3482,2237,590,572,839,263,228
53900,3482,2238,591,152,219,245,220
54934,16261,2241,590,608,174,242,227
58266,16261,2239,589,636,175,249,234
108800,35205,3919,1032,126,733,272,400
94878,35205,3918,1030,567,120,251,378
101400,35205,3920,1031,597,127,260,390
80332,27732,3911,1032,564,262,302,266
89320,27732,3909,1030,88,728,319,280
87848,27732,3910,1031,124,765,316,278
53929,3482,3915,1032,122,307,271,199
57475,3482,3917,1030,580,759,275,209
57540,3482,3916,1031,610,791,274,210
199704,34596,3913,1032,479,654,471,424
182000,34596,3912,1031,60,181,455,400
80066,27732,3491,919,565,262,301,266
90240,27732,3489,920,88,727,320,282
86625,27732,3490,921,125,77,315,275
163240,30307,3487,919,495,678,371,440
160515,30307,3488,921,144,140,369,435
41832,36636,3484,920,593,204,249,168
44370,36636,3485,921,620,207,261,170
54200,3482,3493,919,123,309,271,200
57475,3482,3492,920,580,758,275,209
57814,3482,3494,921,609,790,274,211
90573,35205,2544,672,617,120,227,399
85800,35205,2545,671,588,112,220,390
45353,22346,2542,670,680,848,217,209
39780,22346,2541,671,88,216,204,195
92300,25468,2539,670,576,192,325,284
104232,25468,2538,672,87,830,344,303
106353,25468,2540,671,51,786,351,303
51030,3482,2535,670,126,271,270,189
51612,3482,2537,672,602,846,276,187
54040,3482,2536,671,575,811,280,193
270384,16687,1425,381,19,649,516,524
230364,16687,1423,379,456,157,486,474
35156,3350,1428,381,326,239,188,187
36100,3350,1427,380,284,180,190,190
43263,31862,1431,381,636,803,207,209
44712,31862,1430,380,600,713,207,216
43470,31862,1429,379,136,315,210,207
145524,6191,1089,291,576,609,268,543
141504,6191,1088,289,95,53,268,528
161541,6191,1090,290,88,43,279,579
101200,22361,1091,291,101,101,253,400
108968,22361,1092,290,597,743,257,424
119196,2482,1082,289,596,83,252,473
