area,bbox,category_id,id,image_id
146615,"[113, 703, 295, 497]",16550,1471,392
93613,"[573, 120, 247, 379]",35205,1785,471
109200,"[122, 734, 273, 400]",35205,1783,470
89880,"[86, 729, 321, 280]",27732,1776,471
87492,"[123, 768, 317, 276]",27732,1774,469
80668,"[565, 262, 301, 268]",27732,1775,470
40600,"[135, 212, 203, 200]",28762,1782,471
42000,"[153, 223, 210, 200]",28762,1780,469
47300,"[631, 846, 220, 215]",28762,1781,470
58236,"[580, 758, 276, 211]",3482,1778,471
57330,"[610, 791, 273, 210]",3482,1777,469
54400,"[121, 307, 272, 200]",3482,1779,470
35150,"[377, 183, 185, 190]",3350,792,209
41615,"[178, 249, 205, 203]",3350,791,208
44726,"[559, 786, 209, 214]",31862,789,209
42642,"[596, 875, 206, 207]",31862,790,210
41615,"[178, 249, 205, 203]",31862,788,208
54288,"[120, 662, 234, 232]",29666,786,209
50624,"[165, 750, 226, 224]",29666,787,210
51529,"[580, 336, 227, 227]",29666,785,208
227480,"[419, 82, 440, 517]",16687,439,118
34960,"[295, 192, 184, 190]",3350,443,119
36480,"[457, 846, 190, 192]",3350,442,118
50808,"[653, 708, 232, 219]",13899,446,119
162846,"[85, 114, 327, 498]",12777,4014,1058
168840,"[538, 624, 335, 504]",12777,4015,1059
95920,"[80, 100, 218, 440]",4377,4020,1059
113088,"[600, 105, 248, 456]",2482,4017,1058
109272,"[617, 65, 232, 471]",2482,4018,1057
112547,"[86, 677, 241, 467]",2482,4019,1059
64770,"[111, 828, 254, 255]",25437,4011,1057
62965,"[571, 186, 245, 257]",25437,4013,1059
89880,"[87, 728, 321, 280]",27732,3430,905
87532,"[123, 767, 316, 277]",27732,3429,904
80332,"[565, 261, 302, 266]",27732,3431,906
130752,"[143, 45, 288, 454]",30307,3434,905
141075,"[162, 53, 297, 475]",30307,3432,904
47508,"[614, 186, 222, 214]",20237,3436,905
57684,"[579, 760, 276, 209]",3482,3439,905
58575,"[608, 790, 275, 213]",3482,3438,904
54471,"[122, 306, 271, 201]",3482,3440,906
130232,"[90, 709, 292, 446]",29344,2891,760
112739,"[584, 135, 277, 407]",29344,2889,762
124237,"[127, 751, 283, 439]",29344,2890,761
25273,"[160, 259, 127, 199]",1899,2892,760
27930,"[687, 805, 133, 210]",1899,2893,762
26331,"[178, 268, 131, 201]",1899,2894,761
43860,"[657, 805, 215, 204]",33207,2888,760
39788,"[114, 273, 203, 196]",33207,2886,762
57599,"[140, 819, 239, 241]",16547,2885,762
54000,"[609, 213, 240, 225]",16547,2884,761
75900,"[116, 768, 330, 230]",20876,5164,1356
79376,"[86, 725, 328, 242]",20876,5163,1355
157552,"[92, 56, 344, 458]",30307,5157,1356
141760,"[81, 44, 320, 443]",30307,5159,1355
162624,"[578, 739, 352, 462]",30307,5158,1354
45431,"[634, 208, 181, 251]",36636,5160,1356
43365,"[606, 204, 177, 245]",36636,5162,1355
48128,"[168, 800, 188, 256]",36636,5161,1354
56816,"[650, 750, 212, 268]",3482,5156,1356
109760,"[643, 705, 245, 448]",12080,2606,685
96276,"[69, 116, 226, 426]",12080,2605,686
117000,"[652, 709, 250, 468]",12080,2604,687
159430,"[556, 656, 298, 535]",6191,2599,686
154521,"[104, 39, 291, 531]",6191,2598,687
135900,"[71, 650, 300, 453]",2482,2596,686
134200,"[565, 149, 305, 440]",2482,2597,687
65024,"[119, 820, 256, 254]",25437,2603,685
62484,"[561, 195, 246, 254]",25437,2601,686
69687,"[120, 831, 261, 267]",25437,2602,687
112896,"[609, 160, 252, 448]",27925,811,216
130606,"[91, 608, 266, 491]",27925,810,214
127775,"[126, 666, 269, 475]",27925,809,215
28620,"[629, 895, 212, 135]",1899,808,216
25400,"[142, 241, 200, 127]",1899,806,214
41600,"[177, 269, 208, 200]",33207,812,216
43026,"[615, 834, 213, 202]",33207,814,215
149700,"[99, 693, 300, 499]",16550,815,216
135752,"[597, 65, 284, 478]",16550,816,215
102500,"[591, 742, 250, 410]",22361,2952,776
101092,"[101, 102, 254, 398]",22361,2953,775
108711,"[598, 744, 257, 423]",22361,2954,777
114716,"[604, 83, 241, 476]",2482,2944,776
123066,"[80, 659, 258, 477]",2482,2943,775
103040,"[600, 120, 224, 460]",2482,2945,777
165066,"[97, 95, 366, 451]",19551,2951,776
168516,"[489, 656, 372, 453]",19551,2950,775
162089,"[98, 131, 361, 449]",19551,2949,777
65025,"[145, 844, 255, 255]",25437,2947,776
61746,"[536, 176, 246, 251]",25437,2948,775
70470,"[146, 855, 261, 270]",25437,2946,777
80400,"[565, 261, 300, 268]",27732,1977,525
89880,"[86, 729, 321, 280]",27732,1976,524
87492,"[123, 768, 317, 276]",27732,1975,523
38024,"[142, 892, 196, 194]",16231,1983,525
34034,"[621, 177, 187, 182]",16231,1982,524
35280,"[645, 185, 196, 180]",16231,1981,523
40788,"[127, 193, 206, 198]",28762,1980,524
42630,"[144, 201, 210, 203]",28762,1979,523
54400,"[122, 306, 272, 200]",3482,1986,525
57266,"[579, 760, 274, 209]",3482,1985,524
58236,"[607, 790, 276, 211]",3482,1984,523
127368,"[572, 629, 261, 488]",27925,287,77
123420,"[602, 674, 255, 484]",27925,288,78
119016,"[145, 144, 261, 456]",27925,286,76
25146,"[142, 242, 198, 127]",1899,281,77
25326,"[158, 251, 201, 126]",1899,282,78
28968,"[629, 893, 213, 136]",1899,280,76
36855,"[125, 775, 195, 189]",21770,283,77
35717,"[158, 811, 191, 187]",21770,285,78
34390,"[643, 312, 190, 181]",21770,284,76
53118,"[609, 174, 234, 227]",16547,291,77
54026,"[639, 180, 238, 227]",16547,290,78
57596,"[108, 847, 242, 238]",16547,289,76
117196,"[531, 715, 353, 332]",35205,1374,366
115375,"[99, 255, 355, 325]",35205,1372,364
123783,"[487, 624, 363, 341]",35205,1373,365
95381,"[135, 762, 253, 377]",32309,1377,366
98136,"[89, 666, 261, 376]",32309,1376,365
33672,"[382, 229, 183, 184]",3350,1371,366
36855,"[408, 855, 189, 195]",3350,1369,364
33294,"[342, 172, 179, 186]",3350,1370,365
101260,"[514, 605, 244, 415]",35205,3958,1043
94872,"[192, 186, 236, 402]",35205,3957,1042
33670,"[354, 227, 185, 182]",3350,3962,1044
36099,"[436, 856, 189, 191]",3350,3960,1042
95121,"[94, 724, 271, 351]",18356,3956,1044
95495,"[51, 625, 269, 355]",18356,3955,1043
89577,"[607, 221, 269, 333]",18356,3954,1042
169646,"[127, 91, 313, 542]",12777,1531,408
164850,"[126, 74, 314, 525]",12777,1532,407
155918,"[506, 606, 301, 518]",12777,1533,406
111222,"[129, 844, 333, 334]",3742,1535,408
104006,"[128, 833, 322, 323]",3742,1534,407
94550,"[486, 118, 310, 305]",3742,1536,406
106898,"[656, 108, 226, 473]",2482,1528,408
104760,"[665, 75, 216, 485]",2482,1530,407
99015,"[62, 655, 205, 483]",2482,1529,406
129265,"[643, 672, 251, 515]",13394,1527,408
115620,"[637, 675, 235, 492]",13394,1526,407
111840,"[75, 88, 233, 480]",13394,1525,406
45150,"[684, 864, 215, 210]",22346,1492,397
40768,"[101, 208, 208, 196]",22346,1494,399
39780,"[85, 199, 204, 195]",22346,1493,398
80332,"[565, 262, 302, 266]",27732,1499,397
87216,"[122, 768, 316, 276]",27732,1498,399
90482,"[86, 728, 322, 281]",27732,1500,398
54400,"[121, 306, 272, 200]",3482,1496,397
57330,"[609, 791, 273, 210]",3482,1497,399
57750,"[579, 759, 275, 210]",3482,1495,398
60507,"[151, 803, 249, 243]",16261,1501,397
56608,"[590, 226, 244, 232]",16261,1503,399
54000,"[563, 220, 240, 225]",16261,1502,398
105328,"[643, 688, 232, 454]",12080,1347,356
115866,"[650, 693, 246, 471]",12080,1345,357
97180,"[72, 127, 226, 430]",12080,1346,355
77562,"[104, 799, 279, 278]",5093,1340,356
82082,"[108, 811, 286, 287]",5093,1341,357
150000,"[98, 112, 300, 500]",23222,1337,356
151604,"[97, 143, 302, 502]",23222,1338,357
152912,"[540, 593, 304, 503]",23222,1336,355
101556,"[626, 68, 217, 468]",2482,1344,357
117600,"[60, 695, 245, 480]",2482,1343,355
35154,"[351, 145, 186, 189]",3350,2363,623
34596,"[393, 206, 186, 186]",3350,2364,624
76180,"[130, 293, 260, 293]",41767,2359,622
35532,"[612, 291, 188, 189]",22073,2356,622
34969,"[170, 839, 187, 187]",22073,2358,624
34968,"[84, 823, 188, 186]",12419,4948,1299
34038,"[118, 860, 186, 183]",12419,4949,1298
31304,"[690, 275, 182, 172]",12419,4947,1297
39195,"[124, 143, 201, 195]",3543,4950,1299
41818,"[141, 145, 206, 203]",3543,4951,1298
46008,"[644, 921, 216, 213]",3543,4952,1297
41400,"[589, 166, 207, 200]",4542,4943,1299
45154,"[157, 892, 214, 211]",4542,4941,1297
56635,"[589, 791, 241, 235]",16547,4944,1299
54520,"[618, 828, 235, 232]",16547,4945,1298
37180,"[126, 865, 220, 169]",19860,854,226
40356,"[91, 827, 228, 177]",19860,856,228
37449,"[638, 278, 219, 171]",19860,855,227
38800,"[93, 221, 200, 194]",22346,859,228
45136,"[675, 840, 217, 208]",22346,858,227
49486,"[643, 188, 227, 218]",20237,851,226
47294,"[615, 185, 221, 214]",20237,853,228
51528,"[113, 856, 228, 226]",20237,852,227
60060,"[600, 869, 260, 231]",3482,862,226
60227,"[572, 838, 263, 229]",3482,861,228
54366,"[151, 219, 246, 221]",3482,860,227
36863,"[410, 865, 191, 193]",3350,1049,280
34965,"[339, 171, 185, 189]",3350,1050,281
32942,"[382, 231, 182, 181]",3350,1051,282
138453,"[433, 279, 399, 347]",3831,1055,280
142800,"[109, 580, 400, 357]",3831,1056,281
139788,"[151, 677, 396, 353]",3831,1057,282
37245,"[621, 748, 191, 195]",16231,1053,281
35908,"[656, 839, 191, 188]",16231,1054,282
72086,"[551, 191, 271, 266]",5093,1555,414
77837,"[104, 800, 281, 277]",5093,1557,413
101835,"[626, 70, 219, 465]",2482,1554,412
121412,"[56, 696, 254, 478]",2482,1553,414
119163,"[628, 36, 253, 471]",2482,1552,413
154802,"[114, 190, 314, 493]",19551,1549,412
150060,"[521, 552, 305, 492]",19551,1551,414
153384,"[115, 158, 308, 498]",19551,1550,413
33672,"[395, 216, 184, 183]",3350,3053,804
37248,"[394, 884, 192, 194]",3350,3051,802
34408,"[354, 158, 184, 187]",3350,3052,803
40996,"[656, 741, 148, 277]",13899,3047,804
41192,"[173, 299, 152, 271]",13899,3045,802
41550,"[619, 653, 150, 277]",13899,3046,803
34408,"[194, 821, 184, 187]",22073,3050,804
34780,"[591, 302, 185, 188]",22073,3048,802
36084,"[153, 728, 186, 194]",22073,3049,803
86112,"[130, 775, 312, 276]",27732,1234,330
89958,"[93, 733, 319, 282]",27732,1235,329
207111,"[102, 74, 393, 527]",31884,1230,330
205738,"[515, 642, 386, 533]",31884,1228,328
194556,"[88, 55, 372, 523]",31884,1229,329
43940,"[621, 208, 260, 169]",36636,1231,330
48420,"[100, 880, 269, 180]",36636,1232,328
41664,"[594, 205, 248, 168]",36636,1233,329
57540,"[608, 791, 274, 210]",3482,1238,330
54400,"[122, 306, 272, 200]",3482,1239,328
58236,"[579, 759, 276, 211]",3482,1237,329
82243,"[570, 232, 379, 217]",25468,3947,1041
84315,"[11, 813, 385, 219]",25468,3945,1040
82060,"[52, 857, 373, 220]",25468,3946,1039
42400,"[108, 205, 212, 200]",28762,3943,1040
43026,"[126, 216, 213, 202]",28762,3942,1039
51030,"[126, 272, 270, 189]",3482,3952,1041
54233,"[575, 811, 281, 193]",3482,3951,1040
60742,"[166, 833, 251, 242]",16261,3948,1041
54492,"[546, 189, 239, 228]",16261,3949,1040
57318,"[573, 194, 246, 233]",16261,3950,1039
34770,"[330, 166, 183, 190]",3350,1919,509
37245,"[419, 871, 191, 195]",3350,1918,508
33855,"[370, 227, 185, 183]",3350,1920,510
37050,"[589, 780, 190, 195]",22073,1922,509
35344,"[627, 872, 188, 188]",22073,1923,510
129720,"[90, 699, 345, 376]",18146,1926,510
86411,"[586, 111, 221, 391]",35205,4195,1102
92690,"[615, 116, 230, 403]",35205,4194,1104
101016,"[136, 727, 244, 414]",35205,4196,1103
106050,"[52, 786, 350, 303]",25468,4200,1102
103586,"[87, 829, 343, 302]",25468,4201,1104
94094,"[573, 191, 329, 286]",25468,4202,1103
152205,"[6, 155, 417, 365]",30307,4191,1102
158844,"[18, 177, 427, 372]",30307,4193,1104
158250,"[553, 708, 422, 375]",30307,4192,1103
54040,"[575, 811, 280, 193]",3482,4198,1102
51799,"[603, 845, 277, 187]",3482,4197,1104
51408,"[125, 272, 272, 189]",3482,4199,1103
36084,"[362, 199, 186, 194]",3350,732,194
33855,"[404, 266, 185, 183]",3350,733,195
51912,"[555, 706, 206, 252]",13899,735,194
49245,"[594, 799, 201, 245]",13899,736,195
45901,"[191, 284, 197, 233]",13899,734,193
38880,"[168, 665, 160, 243]",21324,730,194
36729,"[209, 754, 159, 231]",21324,731,195
34960,"[608, 324, 152, 230]",21324,729,193
35720,"[335, 169, 188, 190]",3350,5349,1405
36670,"[411, 869, 190, 193]",3350,5348,1406
33120,"[380, 232, 184, 180]",3350,5350,1407
129480,"[558, 195, 309, 420]",33879,5346,1406
67056,"[564, 696, 254, 264]",38161,5352,1405
62009,"[129, 269, 251, 259]",38161,5351,1406
61965,"[606, 793, 243, 255]",38161,5353,1407
36100,"[407, 863, 190, 190]",3350,3141,826
35526,"[339, 174, 186, 191]",3350,3142,827
62499,"[553, 864, 249, 251]",38161,3140,828
68117,"[511, 766, 259, 263]",38161,3139,827
125256,"[129, 574, 307, 408]",18146,3137,828
118116,"[538, 322, 306, 386]",18146,3135,826
129514,"[85, 487, 319, 406]",18146,3136,827
92214,"[575, 192, 327, 282]",25468,4266,1121
104100,"[83, 831, 347, 300]",25468,4267,1122
106554,"[49, 787, 354, 301]",25468,4268,1120
52670,"[138, 871, 230, 229]",29666,4274,1121
48391,"[620, 174, 223, 217]",29666,4273,1122
46224,"[594, 171, 216, 214]",29666,4272,1120
47736,"[622, 859, 221, 216]",28762,4264,1121
44290,"[156, 204, 215, 206]",28762,4265,1122
41790,"[140, 196, 210, 199]",28762,4263,1120
52820,"[601, 844, 278, 190]",3482,4270,1122
54040,"[575, 812, 280, 193]",3482,4269,1120
105985,"[99, 708, 235, 451]",12080,2719,715
115168,"[608, 712, 244, 472]",12080,2718,716
103360,"[118, 786, 323, 320]",3742,2709,715
117110,"[593, 70, 245, 478]",2482,2712,715
110432,"[558, 100, 232, 476]",2482,2714,716
161868,"[95, 104, 329, 492]",19551,2717,715
161200,"[523, 606, 325, 496]",19551,2715,717
160056,"[99, 136, 324, 494]",19551,2716,716
96798,"[80, 101, 221, 438]",4377,5532,1456
106116,"[653, 702, 222, 478]",4377,5531,1457
153918,"[560, 537, 306, 503]",23222,5534,1456
147609,"[77, 202, 297, 497]",23222,5536,1457
113270,"[85, 675, 241, 470]",2482,5538,1456
113867,"[602, 101, 247, 461]",2482,5537,1457
109968,"[618, 64, 232, 474]",2482,5539,1458
63726,"[570, 186, 247, 258]",25437,5528,1456
69948,"[112, 842, 261, 268]",25437,5529,1457
65025,"[111, 828, 255, 255]",25437,5530,1458
46842,"[62, 810, 222, 211]",27652,4231,1111
45747,"[95, 853, 221, 207]",27652,4232,1112
45000,"[668, 255, 225, 200]",27652,4230,1113
46872,"[605, 176, 217, 216]",29666,4237,1111
47936,"[632, 180, 224, 214]",29666,4236,1112
52437,"[124, 866, 231, 227]",29666,4238,1113
41600,"[116, 188, 208, 200]",28762,4227,1111
42400,"[134, 197, 212, 200]",28762,4228,1112
48564,"[643, 871, 228, 213]",28762,4229,1113
47595,"[585, 846, 285, 167]",3482,4234,1112
48024,"[132, 288, 276, 174]",3482,4235,1113
40356,"[89, 827, 228, 177]",19860,1938,513
37570,"[124, 864, 221, 170]",19860,1936,512
176436,"[29, 17, 377, 468]",25366,1933,513
186331,"[41, 28, 389, 479]",25366,1935,512
193936,"[575, 744, 391, 496]",25366,1934,511
40092,"[593, 193, 257, 156]",36636,1929,513
39900,"[619, 201, 266, 150]",36636,1928,512
59998,"[571, 840, 262, 229]",3482,1931,513
60580,"[598, 867, 260, 233]",3482,1932,512
54120,"[153, 220, 246, 220]",3482,1930,511
80332,"[565, 262, 302, 266]",27732,1579,419
91126,"[86, 726, 322, 283]",27732,1581,420
87255,"[124, 766, 315, 277]",27732,1580,418
195363,"[534, 736, 441, 443]",25366,1582,419
188580,"[12, 93, 449, 420]",25366,1584,418
49932,"[643, 188, 228, 219]",20237,1577,418
55074,"[121, 306, 274, 201]",3482,1574,419
57057,"[580, 760, 273, 209]",3482,1575,420
57330,"[609, 792, 273, 210]",3482,1573,418
44178,"[670, 256, 222, 199]",27652,1696,450
47488,"[62, 809, 224, 212]",27652,1698,448
46384,"[95, 852, 223, 208]",27652,1697,449
49206,"[130, 288, 278, 177]",3482,1701,450
50225,"[560, 811, 287, 175]",3482,1699,448
47808,"[586, 844, 288, 166]",3482,1700,449
196107,"[571, 624, 393, 499]",34596,1692,450
179334,"[33, 96, 369, 486]",34596,1690,448
183160,"[47, 130, 380, 482]",34596,1691,449
61244,"[116, 845, 251, 244]",16261,1693,450
53808,"[594, 178, 236, 228]",16261,1694,448
176784,"[110, 61, 348, 508]",25366,653,172
177320,"[548, 682, 341, 520]",25366,652,174
44622,"[671, 255, 222, 201]",27652,648,174
47085,"[604, 176, 219, 215]",29666,655,173
48150,"[631, 180, 225, 214]",29666,656,172
50050,"[559, 811, 286, 175]",3482,650,173
47595,"[585, 846, 285, 167]",3482,651,172
48752,"[131, 287, 277, 176]",3482,649,174
53106,"[523, 889, 334, 159]",27992,3032,798
51840,"[151, 254, 324, 160]",27992,3030,796
53790,"[498, 855, 330, 163]",27992,3031,797
46221,"[619, 868, 217, 213]",3543,3026,796
42636,"[629, 191, 209, 204]",4542,3029,798
44943,"[146, 867, 213, 211]",4542,3027,796
146797,"[69, 575, 313, 469]",16550,3023,798
137555,"[616, 241, 305, 451]",16550,3021,796
126910,"[571, 628, 259, 490]",27925,3628,955
120321,"[144, 141, 261, 461]",27925,3629,957
25600,"[143, 241, 200, 128]",1899,3624,955
