area,iscrowd,bbox,category_id,ignore,segmentation,id,image_id,file_name,width,height,imgfile,drug_N,drug_S,back_color,drug_dir,light_color,camera_la,camera_lo,size,dl_mapping_code,dl_name,dl_name_en,img_key,dl_material,dl_material_en,dl_custom_shape,dl_company,dl_company_en,di_company_mf,di_company_mf_en,item_seq,di_item_permit_date,di_class_no,di_etc_otc_code,di_edi_code,chart,drug_shape,thick,leng_long,leng_short,print_front,print_back,color_class1,color_class2,line_front,line_back,img_regist_ts,form_code_name,mark_code_front_anal,mark_code_back_anal,mark_code_front_img,mark_code_back_img,mark_code_front,mark_code_back,change_date
96760,0,"[104, 797, 328, 295]",33008,0,[],513,137,K-001900-016551-033009-044199_0_2_0_2_90_000_200.png,976,1280,K-001900-016551-033009-044199_0_2_0_2_90_000_200.png,K-033009,정상알약,연회색 배경,앞면,주백색,90,0,200,K-033009,신바로정,Shinbaro Tab.,http://connectdi.com/design/img/drug/148431162903300172.jpg,자오가·우슬·방풍·두충·구척·흑두건조엑스,Acanthopanax·Achyranthes·Ledebouriella etc Dried ext.,"정제, 저작정",(주)녹십자,Green Cross Corp,,,201401963,20140423,[01140]해열.진통.소염제,전문의약품,643605030,갈색의 장방형 필름코팅정,타원형,5.3,14.5,8.0,S300,,갈색,,,,20140925,필름코팅정,,,,,,,20151015
57072,0,"[135, 241, 246, 232]",44198,0,[],515,136,K-001900-016551-033009-044199_0_2_0_2_70_000_200.png,976,1280,K-001900-016551-033009-044199_0_2_0_2_70_000_200.png,K-044199,정상알약,연회색 배경,앞면,주백색,70,0,200,K-044199,케이캡정 50mg,K-CAB Tab.,http://connectdi.com/design/img/drug/1NdI1kwNhiL.jpg,테고프라잔,Tegoprazan,"정제, 저작정",에이치케이이노엔(주),Hk Inno.N,,,201802815,20180705,[02320]소화성궤양용제,전문의약품,640007270,연한 분홍색의 장방형 필름코팅정 (수출용) 연한 분홍색의 비대칭삼각형의 필름코팅정,장방형,3.5,11.4,5.2,K분할선50,분할선,분홍,,-,-,20201217,필름코팅정,,,,,,,20210129
63744,0,"[594, 792, 256, 249]",44198,0,[],516,138,K-001900-016551-033009-044199_0_2_0_2_75_000_200.png,976,1280,K-001900-016551-033009-044199_0_2_0_2_75_000_200.png,K-044199,정상알약,연회색 배경,앞면,주백색,75,0,200,K-044199,케이캡정 50mg,K-CAB Tab.,http://connectdi.com/design/img/drug/1NdI1kwNhiL.jpg,테고프라잔,Tegoprazan,"정제, 저작정",에이치케이이노엔(주),Hk Inno.N,,,201802815,20180705,[02320]소화성궤양용제,전문의약품,640007270,연한 분홍색의 장방형 필름코팅정 (수출용) 연한 분홍색의 비대칭삼각형의 필름코팅정,장방형,3.5,11.4,5.2,K분할선50,분할선,분홍,,-,-,20201217,필름코팅정,,,,,,,20210129
59272,0,"[625, 831, 248, 239]",44198,0,[],514,137,K-001900-016551-033009-044199_0_2_0_2_90_000_200.png,976,1280,K-001900-016551-033009-044199_0_2_0_2_90_000_200.png,K-044199,정상알약,연회색 배경,앞면,주백색,90,0,200,K-044199,케이캡정 50mg,K-CAB Tab.,http://connectdi.com/design/img/drug/1NdI1kwNhiL.jpg,테고프라잔,Tegoprazan,"정제, 저작정",에이치케이이노엔(주),Hk Inno.N,,,201802815,20180705,[02320]소화성궤양용제,전문의약품,640007270,연한 분홍색의 장방형 필름코팅정 (수출용) 연한 분홍색의 비대칭삼각형의 필름코팅정,장방형,3.5,11.4,5.2,K분할선50,분할선,분홍,,-,-,20201217,필름코팅정,,,,,,,20210129
156629,0,"[78, 652, 319, 491]",16550,0,[],517,136,K-001900-016551-033009-044199_0_2_0_2_70_000_200.png,976,1280,K-001900-016551-033009-044199_0_2_0_2_70_000_200.png,K-016551,정상알약,연회색 배경,앞면,주백색,70,0,200,K-016551,동아가바펜틴정 800mg,Gabapentin Tab. 800mg Dong-A,http://connectdi.com/design/img/drug/152484364307100015.jpg,가바펜틴,Gabapentin,"정제, 저작정",동아에스티(주),Dong-A St,고려제약(주),Korean Drug,200500254,20051012,[01130]항전간제,전문의약품,"642500340,A01508511",흰색의 타원형 필름코팅정제,타원형,5.6,19.15,9.55,DGTH,800,하양,,,,20070412,필름코팅정,,,,,,,20190124
135700,0,"[572, 106, 295, 460]",16550,0,[],519,138,K-001900-016551-033009-044199_0_2_0_2_75_000_200.png,976,1280,K-001900-016551-033009-044199_0_2_0_2_75_000_200.png,K-016551,정상알약,연회색 배경,앞면,주백색,75,0,200,K-016551,동아가바펜틴정 800mg,Gabapentin Tab. 800mg Dong-A,http://connectdi.com/design/img/drug/152484364307100015.jpg,가바펜틴,Gabapentin,"정제, 저작정",동아에스티(주),Dong-A St,고려제약(주),Korean Drug,200500254,20051012,[01130]항전간제,전문의약품,"642500340,A01508511",흰색의 타원형 필름코팅정제,타원형,5.6,19.15,9.55,DGTH,800,하양,,,,20070412,필름코팅정,,,,,,,20190124
139712,0,"[605, 117, 296, 472]",16550,0,[],518,137,K-001900-016551-033009-044199_0_2_0_2_90_000_200.png,976,1280,K-001900-016551-033009-044199_0_2_0_2_90_000_200.png,K-016551,정상알약,연회색 배경,앞면,주백색,90,0,200,K-016551,동아가바펜틴정 800mg,Gabapentin Tab. 800mg Dong-A,http://connectdi.com/design/img/drug/152484364307100015.jpg,가바펜틴,Gabapentin,"정제, 저작정",동아에스티(주),Dong-A St,고려제약(주),Korean Drug,200500254,20051012,[01130]항전간제,전문의약품,"642500340,A01508511",흰색의 타원형 필름코팅정제,타원형,5.6,19.15,9.55,DGTH,800,하양,,,,20070412,필름코팅정,,,,,,,20190124
33489,0,"[394, 197, 183, 183]",3350,0,[],1917,507,K-003351-031863-038162_0_2_0_2_90_000_200.png,976,1280,K-003351-031863-038162_0_2_0_2_90_000_200.png,K-003351,정상알약,연회색 배경,앞면,주백색,90,0,200,K-003351,일양하이트린정 2mg,Hytrin Tab. 2mg Ilyang,http://connectdi.com/design/img/drug/147765842976900148.jpg,테라조신염산염수화물,Terazosin Hydrochloride Hydrate,"정제, 저작정",일양약품(주),Ilyang Pharmaceutical,,,199101125,19910626,[02590]기타의 비뇨생식기관 및 항문용약,전문의약품,"641702010,A09503981",오랜지색 또는 노란색의 원형정제.,원형,2.76,7.01,7.01,I분할선Y,HT,주황,,-,,20041222,나정,,,,,,,20170328
35908,0,"[398, 901, 188, 191]",3350,0,[],1915,505,K-003351-031863-038162_0_2_0_2_70_000_200.png,976,1280,K-003351-031863-038162_0_2_0_2_70_000_200.png,K-003351,정상알약,연회색 배경,앞면,주백색,70,0,200,K-003351,일양하이트린정 2mg,Hytrin Tab. 2mg Ilyang,http://connectdi.com/design/img/drug/147765842976900148.jpg,테라조신염산염수화물,Terazosin Hydrochloride Hydrate,"정제, 저작정",일양약품(주),Ilyang Pharmaceutical,,,199101125,19910626,[02590]기타의 비뇨생식기관 및 항문용약,전문의약품,"641702010,A09503981",오랜지색 또는 노란색의 원형정제.,원형,2.76,7.01,7.01,I분할선Y,HT,주황,,-,,20041222,나정,,,,,,,20170328
34780,0,"[351, 139, 185, 188]",3350,0,[],1916,506,K-003351-031863-038162_0_2_0_2_75_000_200.png,976,1280,K-003351-031863-038162_0_2_0_2_75_000_200.png,K-003351,정상알약,연회색 배경,앞면,주백색,75,0,200,K-003351,일양하이트린정 2mg,Hytrin Tab. 2mg Ilyang,http://connectdi.com/design/img/drug/147765842976900148.jpg,테라조신염산염수화물,Terazosin Hydrochloride Hydrate,"정제, 저작정",일양약품(주),Ilyang Pharmaceutical,,,199101125,19910626,[02590]기타의 비뇨생식기관 및 항문용약,전문의약품,"641702010,A09503981",오랜지색 또는 노란색의 원형정제.,원형,2.76,7.01,7.01,I분할선Y,HT,주황,,-,,20041222,나정,,,,,,,20170328
42436,0,"[637, 326, 206, 206]",31862,0,[],1912,505,K-003351-031863-038162_0_2_0_2_70_000_200.png,976,1280,K-003351-031863-038162_0_2_0_2_70_000_200.png,K-031863,정상알약,연회색 배경,앞면,주백색,70,0,200,K-031863,아질렉트정(라사길린메실산염),Azilect Tab.,http://connectdi.com/design/img/drug/147426780832600177.jpg,라사길린메실산염,Rasagiline Mesylate,"정제, 저작정",한국룬드벡(주),Lundbeck Korea,Teva Pharmaceutical Industries Ltd.,,201309347,20130913,[01190]기타의 중추신경용약,전문의약품,668000100,"한쪽 면의 위쪽에 “GIL"", 아래쪽에 ”1“이 새겨진 흰색 또는 거의 흰색의 모서리가 있는 편평한 원형 정제",원형,3.0,8.0,8.0,GIL 1,,하양,,,,20131224,나정,,,,,,,20210106
56256,0,"[213, 287, 192, 293]",38161,0,[],1909,505,K-003351-031863-038162_0_2_0_2_70_000_200.png,976,1280,K-003351-031863-038162_0_2_0_2_70_000_200.png,K-038162,정상알약,연회색 배경,앞면,주백색,70,0,200,K-038162,로수바미브정 10/20mg,Rosuvamibe Tab. 10/20mg,http://connectdi.com/design/img/drug/147427180466400018.jpg,로수바스타틴칼슘|에제티미브,Ezetimibe| Rosuvastatin Calcium,"정제, 저작정",(주)유한양행,Yuhan,,,201600318,20160119,[02180]동맥경화용제,전문의약품,642104800,분홍색의 달걀형 필름코팅정,타원형,5.0,11.5,6.6,RE20,Y분할선H,분홍,,,-,20160414,필름코팅정,,,,,,,20190805
60297,0,"[533, 632, 199, 303]",38161,0,[],1910,506,K-003351-031863-038162_0_2_0_2_75_000_200.png,976,1280,K-003351-031863-038162_0_2_0_2_75_000_200.png,K-038162,정상알약,연회색 배경,앞면,주백색,75,0,200,K-038162,로수바미브정 10/20mg,Rosuvamibe Tab. 10/20mg,http://connectdi.com/design/img/drug/147427180466400018.jpg,로수바스타틴칼슘|에제티미브,Ezetimibe| Rosuvastatin Calcium,"정제, 저작정",(주)유한양행,Yuhan,,,201600318,20160119,[02180]동맥경화용제,전문의약품,642104800,분홍색의 달걀형 필름코팅정,타원형,5.0,11.5,6.6,RE20,Y분할선H,분홍,,,-,20160414,필름코팅정,,,,,,,20190805
71020,0,"[524, 150, 268, 265]",5093,0,[],2353,620,K-002483-005094-022362-023223_0_2_0_2_70_000_200.png,976,1280,K-002483-005094-022362-023223_0_2_0_2_70_000_200.png,K-005094,정상알약,연회색 배경,앞면,주백색,70,0,200,K-005094,삼남건조수산화알루미늄겔정,Dried Aluminium Hydroxide Gel Tab. Samnam,http://connectdi.com/design/img/drug/147427668455400014.jpg,건조수산화알루미늄 겔,Dried Aluminum Hydroxide Gel,"정제, 저작정",삼남제약(주),Samnam,,,199501099,19950424,[02340]제산제,일반의약품,"653700380,A11850101",백색의 원형 정제,원형,5.5,10.5,10.5,AHG,,하양,,,,20060602,나정,,,,,,,20091001
83798,0,"[137, 856, 286, 293]",5093,0,[],2354,619,K-002483-005094-022362-023223_0_2_0_2_75_000_200.png,976,1280,K-002483-005094-022362-023223_0_2_0_2_75_000_200.png,K-005094,정상알약,연회색 배경,앞면,주백색,75,0,200,K-005094,삼남건조수산화알루미늄겔정,Dried Aluminium Hydroxide Gel Tab. Samnam,http://connectdi.com/design/img/drug/147427668455400014.jpg,건조수산화알루미늄 겔,Dried Aluminum Hydroxide Gel,"정제, 저작정",삼남제약(주),Samnam,,,199501099,19950424,[02340]제산제,일반의약품,"653700380,A11850101",백색의 원형 정제,원형,5.5,10.5,10.5,AHG,,하양,,,,20060602,나정,,,,,,,20091001
99145,0,"[82, 74, 251, 395]",22361,0,[],2350,620,K-002483-005094-022362-023223_0_2_0_2_70_000_200.png,976,1280,K-002483-005094-022362-023223_0_2_0_2_70_000_200.png,K-022362,정상알약,연회색 배경,앞면,주백색,70,0,200,K-022362,맥시부펜이알정 300mg,Maxibupen Er Tab.,http://connectdi.com/design/img/drug/1NOwp2F6Dtt.jpg,덱시부프로펜,Dexibuprofen,서방형정제,한미약품(주),Hanmi Pharm,,,200710817,20070927,[01140]해열.진통.소염제,일반의약품,"643500810,A21454921","흰색, 장방형의필름코팅된 서방정",장방형,6.0,15.5,8.8,MX,,하양,,,,20090507,서방성필름코팅정,,,,,,,20191015
108712,0,"[622, 779, 254, 428]",22361,0,[],2352,619,K-002483-005094-022362-023223_0_2_0_2_75_000_200.png,976,1280,K-002483-005094-022362-023223_0_2_0_2_75_000_200.png,K-022362,정상알약,연회색 배경,앞면,주백색,75,0,200,K-022362,맥시부펜이알정 300mg,Maxibupen Er Tab.,http://connectdi.com/design/img/drug/1NOwp2F6Dtt.jpg,덱시부프로펜,Dexibuprofen,서방형정제,한미약품(주),Hanmi Pharm,,,200710817,20070927,[01140]해열.진통.소염제,일반의약품,"643500810,A21454921","흰색, 장방형의필름코팅된 서방정",장방형,6.0,15.5,8.8,MX,,하양,,,,20090507,서방성필름코팅정,,,,,,,20191015
151682,0,"[548, 641, 298, 509]",23222,0,[],2347,620,K-002483-005094-022362-023223_0_2_0_2_70_000_200.png,976,1280,K-002483-005094-022362-023223_0_2_0_2_70_000_200.png,K-023223,정상알약,연회색 배경,앞면,주백색,70,0,200,K-023223,비타비백정 100mg/병,Vita B 100 Tab.,http://connectdi.com/design/img/drug/152035096572400005.jpg,니코틴산아미드|피리독신염산염97%과립|리보플라빈|티아민질산염|판토텐산칼슘|폴산|d-비오틴1%|시아노코발라민100배산|우르소데옥시콜산,Folic Acid| Biotin 1%| Calcium Pantothenate| Cyanocobalamin(1000倍散)| Nicotinamide| Pyridoxine Hydrochloride 97% Gr.| Riboflavin| Thiamine Nitrate| Ursodeoxycholic Acid,"정제, 저작정",(주)유한양행,Yuhan,,,200802213,20080226,[03160]혼합비타민제(비타민AD 혼합제제를 제외),일반의약품,642103030,적색의 타원형 제피정,타원형,6.6,19.38,9.31,YH,V100,빨강,,,,20080725,필름코팅정,,,,,,,20190826
151256,0,"[91, 93, 296, 511]",23222,0,[],2349,619,K-002483-005094-022362-023223_0_2_0_2_75_000_200.png,976,1280,K-002483-005094-022362-023223_0_2_0_2_75_000_200.png,K-023223,정상알약,연회색 배경,앞면,주백색,75,0,200,K-023223,비타비백정 100mg/병,Vita B 100 Tab.,http://connectdi.com/design/img/drug/152035096572400005.jpg,니코틴산아미드|피리독신염산염97%과립|리보플라빈|티아민질산염|판토텐산칼슘|폴산|d-비오틴1%|시아노코발라민100배산|우르소데옥시콜산,Folic Acid| Biotin 1%| Calcium Pantothenate| Cyanocobalamin(1000倍散)| Nicotinamide| Pyridoxine Hydrochloride 97% Gr.| Riboflavin| Thiamine Nitrate| Ursodeoxycholic Acid,"정제, 저작정",(주)유한양행,Yuhan,,,200802213,20080226,[03160]혼합비타민제(비타민AD 혼합제제를 제외),일반의약품,642103030,적색의 타원형 제피정,타원형,6.6,19.38,9.31,YH,V100,빨강,,,,20080725,필름코팅정,,,,,,,20190826
148680,0,"[90, 60, 295, 504]",23222,0,[],2348,621,K-002483-005094-022362-023223_0_2_0_2_90_000_200.png,976,1280,K-002483-005094-022362-023223_0_2_0_2_90_000_200.png,K-023223,정상알약,연회색 배경,앞면,주백색,90,0,200,K-023223,비타비백정 100mg/병,Vita B 100 Tab.,http://connectdi.com/design/img/drug/152035096572400005.jpg,니코틴산아미드|피리독신염산염97%과립|리보플라빈|티아민질산염|판토텐산칼슘|폴산|d-비오틴1%|시아노코발라민100배산|우르소데옥시콜산,Folic Acid| Biotin 1%| Calcium Pantothenate| Cyanocobalamin(1000倍散)| Nicotinamide| Pyridoxine Hydrochloride 97% Gr.| Riboflavin| Thiamine Nitrate| Ursodeoxycholic Acid,"정제, 저작정",(주)유한양행,Yuhan,,,200802213,20080226,[03160]혼합비타민제(비타민AD 혼합제제를 제외),일반의약품,642103030,적색의 타원형 제피정,타원형,6.6,19.38,9.31,YH,V100,빨강,,,,20080725,필름코팅정,,,,,,,20190826
91374,0,"[646, 120, 194, 471]",2482,0,[],2344,619,K-002483-005094-022362-023223_0_2_0_2_75_000_200.png,976,1280,K-002483-005094-022362-023223_0_2_0_2_75_000_200.png,K-002483,정상알약,연회색 배경,앞면,주백색,75,0,200,K-002483,뮤테란캡슐 100mg,Muteran Cap. 100mg,http://connectdi.com/design/img/drug/1M_4NHfUrnp.jpg,아세틸시스테인,Acetylcysteine,경질캡슐제,한화제약(주),Hanwha Pharma,,,198801531,19880629,[02220]진해거담제,일반의약품,"651600290,A15301201",흰색의 분말이 충진된 상하 녹색의 경질캡슐제,장방형,6.8,19.0,6.4,Hanwha MUC100,,초록,초록,,,20191226,"경질캡슐제, 산제",,,,,,,20190627
96316,0,"[648, 84, 199, 484]",2482,0,[],2346,621,K-002483-005094-022362-023223_0_2_0_2_90_000_200.png,976,1280,K-002483-005094-022362-023223_0_2_0_2_90_000_200.png,K-002483,정상알약,연회색 배경,앞면,주백색,90,0,200,K-002483,뮤테란캡슐 100mg,Muteran Cap. 100mg,http://connectdi.com/design/img/drug/1M_4NHfUrnp.jpg,아세틸시스테인,Acetylcysteine,경질캡슐제,한화제약(주),Hanwha Pharma,,,198801531,19880629,[02220]진해거담제,일반의약품,"651600290,A15301201",흰색의 분말이 충진된 상하 녹색의 경질캡슐제,장방형,6.8,19.0,6.4,Hanwha MUC100,,초록,초록,,,20191226,"경질캡슐제, 산제",,,,,,,20190627
79771,0,"[85, 726, 331, 241]",20876,0,[],3379,891,K-003483-016232-020877-028763_0_2_0_2_75_000_200.png,976,1280,K-003483-016232-020877-028763_0_2_0_2_75_000_200.png,K-020877,정상알약,연회색 배경,앞면,주백색,75,0,200,K-020877,엑스포지정 5/160mg,Exforge Tab. 5/160mg,http://connectdi.com/design/img/drug/1MecIOjA6Yf.jpg,발사르탄|암로디핀베실산염,Amlodipine Besylate| Valsartan,"정제, 저작정",한국노바티스(주),Novartis Korea,Novartis Pharma Stein AG,,200703803,20070403,[02140]혈압강하제,전문의약품,"653600850,E01631481",어두운 황색의 달걀형 필름코팅정,타원형,4.0,14.0,5.5,NVR,ECE,노랑,,,,20070518,필름코팅정,,,,,,,20200601
76923,0,"[116, 768, 333, 231]",20876,0,[],3380,890,K-003483-016232-020877-028763_0_2_0_2_90_000_200.png,976,1280,K-003483-016232-020877-028763_0_2_0_2_90_000_200.png,K-020877,정상알약,연회색 배경,앞면,주백색,90,0,200,K-020877,엑스포지정 5/160mg,Exforge Tab. 5/160mg,http://connectdi.com/design/img/drug/1MecIOjA6Yf.jpg,발사르탄|암로디핀베실산염,Amlodipine Besylate| Valsartan,"정제, 저작정",한국노바티스(주),Novartis Korea,Novartis Pharma Stein AG,,200703803,20070403,[02140]혈압강하제,전문의약품,"653600850,E01631481",어두운 황색의 달걀형 필름코팅정,타원형,4.0,14.0,5.5,NVR,ECE,노랑,,,,20070518,필름코팅정,,,,,,,20200601
