area,bbox,category_id,id,image_id,file_name,width,height,imgfile,drug_N,drug_S,back_color,drug_dir,light_color,camera_la,camera_lo,size,dl_mapping_code,dl_name,dl_name_en,img_key,dl_material,dl_material_en,dl_custom_shape,dl_company,dl_company_en,di_company_mf,di_company_mf_en,item_seq,di_item_permit_date,di_class_no,di_etc_otc_code,di_edi_code,chart,drug_shape,thick,leng_long,leng_short,print_front,print_back,color_class1,color_class2,img_regist_ts,form_code_name,change_date
135700,"[572, 106, 295, 460]",16550,519,138,K-001900-016551-033009-044199_0_2_0_2_75_000_200.png,976,1280,K-001900-016551-033009-044199_0_2_0_2_75_000_200.png,K-016551,정상알약,연회색 배경,앞면,주백색,75,0,200,K-016551,동아가바펜틴정 800mg,Gabapentin Tab. 800mg Dong-A,http://connectdi.com/design/img/drug/152484364307100015.jpg,가바펜틴,Gabapentin,"정제, 저작정",동아에스티(주),Dong-A St,고려제약(주),Korean Drug,200500254,20051012,[01130]항전간제,전문의약품,"642500340,A01508511",흰색의 타원형 필름코팅정제,타원형,5.6,19.15,9.55,DGTH,800,하양,,20070412,필름코팅정,20190124
139712,"[605, 117, 296, 472]",16550,518,137,K-001900-016551-033009-044199_0_2_0_2_90_000_200.png,976,1280,K-001900-016551-033009-044199_0_2_0_2_90_000_200.png,K-016551,정상알약,연회색 배경,앞면,주백색,90,0,200,K-016551,동아가바펜틴정 800mg,Gabapentin Tab. 800mg Dong-A,http://connectdi.com/design/img/drug/152484364307100015.jpg,가바펜틴,Gabapentin,"정제, 저작정",동아에스티(주),Dong-A St,고려제약(주),Korean Drug,200500254,20051012,[01130]항전간제,전문의약품,"642500340,A01508511",흰색의 타원형 필름코팅정제,타원형,5.6,19.15,9.55,DGTH,800,하양,,20070412,필름코팅정,20190124
35908,"[398, 901, 188, 191]",3350,1915,505,K-003351-031863-038162_0_2_0_2_70_000_200.png,976,1280,K-003351-031863-038162_0_2_0_2_70_000_200.png,K-003351,정상알약,연회색 배경,앞면,주백색,70,0,200,K-003351,일양하이트린정 2mg,Hytrin Tab. 2mg Ilyang,http://connectdi.com/design/img/drug/147765842976900148.jpg,테라조신염산염수화물,Terazosin Hydrochloride Hydrate,"정제, 저작정",일양약품(주),Ilyang Pharmaceutical,,,199101125,19910626,[02590]기타의 비뇨생식기관 및 항문용약,전문의약품,"641702010,A09503981",오랜지색 또는 노란색의 원형정제.,원형,2.76,7.01,7.01,I분할선Y,HT,주황,,20041222,나정,20170328
42436,"[637, 326, 206, 206]",31862,1912,505,K-003351-031863-038162_0_2_0_2_70_000_200.png,976,1280,K-003351-031863-038162_0_2_0_2_70_000_200.png,K-031863,정상알약,연회색 배경,앞면,주백색,70,0,200,K-031863,아질렉트정(라사길린메실산염),Azilect Tab.,http://connectdi.com/design/img/drug/147426780832600177.jpg,라사길린메실산염,Rasagiline Mesylate,"정제, 저작정",한국룬드벡(주),Lundbeck Korea,Teva Pharmaceutical Industries Ltd.,,201309347,20130913,[01190]기타의 중추신경용약,전문의약품,668000100,"한쪽 면의 위쪽에 “GIL"", 아래쪽에 ”1“이 새겨진 흰색 또는 거의 흰색의 모서리가 있는 편평한 원형 정제",원형,3.0,8.0,8.0,GIL 1,,하양,,20131224,나정,20210106
56256,"[213, 287, 192, 293]",38161,1909,505,K-003351-031863-038162_0_2_0_2_70_000_200.png,976,1280,K-003351-031863-038162_0_2_0_2_70_000_200.png,K-038162,정상알약,연회색 배경,앞면,주백색,70,0,200,K-038162,로수바미브정 10/20mg,Rosuvamibe Tab. 10/20mg,http://connectdi.com/design/img/drug/147427180466400018.jpg,로수바스타틴칼슘|에제티미브,Ezetimibe| Rosuvastatin Calcium,"정제, 저작정",(주)유한양행,Yuhan,,,201600318,20160119,[02180]동맥경화용제,전문의약품,642104800,분홍색의 달걀형 필름코팅정,타원형,5.0,11.5,6.6,RE20,Y분할선H,분홍,,20160414,필름코팅정,20190805
83798,"[137, 856, 286, 293]",5093,2354,619,K-002483-005094-022362-023223_0_2_0_2_75_000_200.png,976,1280,K-002483-005094-022362-023223_0_2_0_2_75_000_200.png,K-005094,정상알약,연회색 배경,앞면,주백색,75,0,200,K-005094,삼남건조수산화알루미늄겔정,Dried Aluminium Hydroxide Gel Tab. Samnam,http://connectdi.com/design/img/drug/147427668455400014.jpg,건조수산화알루미늄 겔,Dried Aluminum Hydroxide Gel,"정제, 저작정",삼남제약(주),Samnam,,,199501099,19950424,[02340]제산제,일반의약품,"653700380,A11850101",백색의 원형 정제,원형,5.5,10.5,10.5,AHG,,하양,,20060602,나정,20091001
108712,"[622, 779, 254, 428]",22361,2352,619,K-002483-005094-022362-023223_0_2_0_2_75_000_200.png,976,1280,K-002483-005094-022362-023223_0_2_0_2_75_000_200.png,K-022362,정상알약,연회색 배경,앞면,주백색,75,0,200,K-022362,맥시부펜이알정 300mg,Maxibupen Er Tab.,http://connectdi.com/design/img/drug/1NOwp2F6Dtt.jpg,덱시부프로펜,Dexibuprofen,서방형정제,한미약품(주),Hanmi Pharm,,,200710817,20070927,[01140]해열.진통.소염제,일반의약품,"643500810,A21454921","흰색, 장방형의필름코팅된 서방정",장방형,6.0,15.5,8.8,MX,,하양,,20090507,서방성필름코팅정,20191015
151256,"[91, 93, 296, 511]",23222,2349,619,K-002483-005094-022362-023223_0_2_0_2_75_000_200.png,976,1280,K-002483-005094-022362-023223_0_2_0_2_75_000_200.png,K-023223,정상알약,연회색 배경,앞면,주백색,75,0,200,K-023223,비타비백정 100mg/병,Vita B 100 Tab.,http://connectdi.com/design/img/drug/152035096572400005.jpg,니코틴산아미드|피리독신염산염97%과립|리보플라빈|티아민질산염|판토텐산칼슘|폴산|d-비오틴1%|시아노코발라민100배산|우르소데옥시콜산,Folic Acid| Biotin 1%| Calcium Pantothenate| Cyanocobalamin(1000倍散)| Nicotinamide| Pyridoxine Hydrochloride 97% Gr.| Riboflavin| Thiamine Nitrate| Ursodeoxycholic Acid,"정제, 저작정",(주)유한양행,Yuhan,,,200802213,20080226,[03160]혼합비타민제(비타민AD 혼합제제를 제외),일반의약품,642103030,적색의 타원형 제피정,타원형,6.6,19.38,9.31,YH,V100,빨강,,20080725,필름코팅정,20190826
91374,"[646, 120, 194, 471]",2482,2344,619,K-002483-005094-022362-023223_0_2_0_2_75_000_200.png,976,1280,K-002483-005094-022362-023223_0_2_0_2_75_000_200.png,K-002483,정상알약,연회색 배경,앞면,주백색,75,0,200,K-002483,뮤테란캡슐 100mg,Muteran Cap. 100mg,http://connectdi.com/design/img/drug/1M_4NHfUrnp.jpg,아세틸시스테인,Acetylcysteine,경질캡슐제,한화제약(주),Hanwha Pharma,,,198801531,19880629,[02220]진해거담제,일반의약품,"651600290,A15301201",흰색의 분말이 충진된 상하 녹색의 경질캡슐제,장방형,6.8,19.0,6.4,Hanwha MUC100,,초록,초록,20191226,"경질캡슐제, 산제",20190627
76923,"[116, 768, 333, 231]",20876,3380,890,K-003483-016232-020877-028763_0_2_0_2_90_000_200.png,976,1280,K-003483-016232-020877-028763_0_2_0_2_90_000_200.png,K-020877,정상알약,연회색 배경,앞면,주백색,90,0,200,K-020877,엑스포지정 5/160mg,Exforge Tab. 5/160mg,http://connectdi.com/design/img/drug/1MecIOjA6Yf.jpg,발사르탄|암로디핀베실산염,Amlodipine Besylate| Valsartan,"정제, 저작정",한국노바티스(주),Novartis Korea,Novartis Pharma Stein AG,,200703803,20070403,[02140]혈압강하제,전문의약품,"653600850,E01631481",어두운 황색의 달걀형 필름코팅정,타원형,4.0,14.0,5.5,NVR,ECE,노랑,,20070518,필름코팅정,20200601
34560,"[656, 231, 192, 180]",16231,3374,890,K-003483-016232-020877-028763_0_2_0_2_90_000_200.png,976,1280,K-003483-016232-020877-028763_0_2_0_2_90_000_200.png,K-016232,정상알약,연회색 배경,앞면,주백색,90,0,200,K-016232,리피토정 20mg,Lipitor Tab. 20mg,http://connectdi.com/design/img/drug/146031391296200164.jpg,아토르바스타틴칼슘삼수화물,Atorvastatin Calcium Hydrate,"정제, 저작정",한국화이자제약(주),Pfizer Korea,,,200410085,20041025,[02180]동맥경화용제,전문의약품,"648900260,E01890131",흰색의 원형 필름코팅정,원형,4.5,7.5,7.5,ATV,20,하양,,20121122,필름코팅정,20201117
43255,"[71, 177, 211, 205]",28762,3370,890,K-003483-016232-020877-028763_0_2_0_2_90_000_200.png,976,1280,K-003483-016232-020877-028763_0_2_0_2_90_000_200.png,K-028763,정상알약,연회색 배경,앞면,주백색,90,0,200,K-028763,트라젠타정(리나글립틴),Trajenta Tab.,http://connectdi.com/design/img/drug/1MnfO1MVz3z.jpg,리나글립틴,Linagliptin,"정제, 저작정",한국베링거인겔하임(주),Boehringer Ingelheim Korea,,,201106367,20110914,[03960]당뇨병용제,전문의약품,653501380,"양쪽이 볼록하고 사각면이 날이 선 밝은 빨강색의 원형 필름코팅정. 한쪽 면에는 베링거인겔하임 표식, 다른 한쪽 면에는 ‘D5’가 새겨져 있다.",원형,3.65,8.23,8.23,마크,D5,분홍,,20110930,필름코팅정,20210317
56759,"[651, 750, 211, 269]",3482,3375,890,K-003483-016232-020877-028763_0_2_0_2_90_000_200.png,976,1280,K-003483-016232-020877-028763_0_2_0_2_90_000_200.png,K-003483,정상알약,연회색 배경,앞면,주백색,90,0,200,K-003483,기넥신에프정(은행엽엑스)(수출용),Ginexin-F Tab.,http://connectdi.com/design/img/drug/148609543321800170.jpg,은행엽건조엑스,Ginkgo Leaf Ext.,"정제, 저작정",에스케이케미칼(주),Sk Chemicals,,,199102014,19910906,[02190]기타의 순환계용약,일반의약품,"644700130,A18901361",진녹색의 타원형 필름 코팅정,장방형,3.9,11.1,6.1,SK,G40,초록,,20041222,필름코팅정,20200723
112585,"[607, 162, 253, 445]",27925,3190,840,K-001900-016548-027926-033208_0_2_0_2_70_000_200.png,976,1280,K-001900-016548-027926-033208_0_2_0_2_70_000_200.png,K-027926,정상알약,연회색 배경,앞면,주백색,70,0,200,K-027926,울트라셋이알서방정,Ultracet ER Tab.,http://connectdi.com/design/img/drug/1NOwp2F6It9.jpg,아세트아미노펜|트라마돌염산염,Acetaminophen| Tramadol Hydrochloride,서방형정제,(주)한국얀센,Janssen Korea,,,201006967,20101122,[01140]해열.진통.소염제,전문의약품,646901630,노란색의 장방형 필름코팅 서방정제,타원형,7.0,19.0,9.0,T/A ER,,노랑,,20150416,서방성필름코팅정,20210706
126825,"[128, 667, 267, 475]",27925,3189,839,K-001900-016548-027926-033208_0_2_0_2_90_000_200.png,976,1280,K-001900-016548-027926-033208_0_2_0_2_90_000_200.png,K-027926,정상알약,연회색 배경,앞면,주백색,90,0,200,K-027926,울트라셋이알서방정,Ultracet ER Tab.,http://connectdi.com/design/img/drug/1NOwp2F6It9.jpg,아세트아미노펜|트라마돌염산염,Acetaminophen| Tramadol Hydrochloride,서방형정제,(주)한국얀센,Janssen Korea,,,201006967,20101122,[01140]해열.진통.소염제,전문의약품,646901630,노란색의 장방형 필름코팅 서방정제,타원형,7.0,19.0,9.0,T/A ER,,노랑,,20150416,서방성필름코팅정,20210706
28274,"[630, 895, 211, 134]",1899,3188,840,K-001900-016548-027926-033208_0_2_0_2_70_000_200.png,976,1280,K-001900-016548-027926-033208_0_2_0_2_70_000_200.png,K-001900,정상알약,연회색 배경,앞면,주백색,70,0,200,K-001900,보령부스파정 5mg,Buspar Tab. 5mg Boryung,http://connectdi.com/design/img/drug/1Mxwka5v0lL.jpg,부스피론염산염,Buspirone Hydrochloride,"정제, 저작정",보령제약(주),Boryung,,,198700706,19870323,[01170]정신신경용제,전문의약품,"641901280,A09302381",이약은 양면볼록한 장방형의 흰색정제이다,장방형,2.5,8.0,4.5,BSP,5,하양,,20070910,나정,20160825
25728,"[158, 249, 201, 128]",1899,3187,839,K-001900-016548-027926-033208_0_2_0_2_90_000_200.png,976,1280,K-001900-016548-027926-033208_0_2_0_2_90_000_200.png,K-001900,정상알약,연회색 배경,앞면,주백색,90,0,200,K-001900,보령부스파정 5mg,Buspar Tab. 5mg Boryung,http://connectdi.com/design/img/drug/1Mxwka5v0lL.jpg,부스피론염산염,Buspirone Hydrochloride,"정제, 저작정",보령제약(주),Boryung,,,198700706,19870323,[01170]정신신경용제,전문의약품,"641901280,A09302381",이약은 양면볼록한 장방형의 흰색정제이다,장방형,2.5,8.0,4.5,BSP,5,하양,,20070910,나정,20160825
40590,"[178, 269, 205, 198]",33207,3185,840,K-001900-016548-027926-033208_0_2_0_2_70_000_200.png,976,1280,K-001900-016548-027926-033208_0_2_0_2_70_000_200.png,K-033208,정상알약,연회색 배경,앞면,주백색,70,0,200,K-033208,에스원엠프정 20mg,Eswonamp Tab. 20mg,http://connectdi.com/design/img/drug/1MYTX0L3Ktb.jpg,에스오메프라졸마그네슘삼수화물,Esomeprazole Magnesium Dihydrate,"정제, 저작정",대원제약(주),Daewon Pharmaceutical,,,201402463,20140530,[02320]소화성궤양용제,전문의약품,671805710,연분홍색의 원형 필름코팅정,원형,3.7,7.9,7.9,20S,,분홍,,20140711,필름코팅정,20190912
42400,"[616, 835, 212, 200]",33207,3183,839,K-001900-016548-027926-033208_0_2_0_2_90_000_200.png,976,1280,K-001900-016548-027926-033208_0_2_0_2_90_000_200.png,K-033208,정상알약,연회색 배경,앞면,주백색,90,0,200,K-033208,에스원엠프정 20mg,Eswonamp Tab. 20mg,http://connectdi.com/design/img/drug/1MYTX0L3Ktb.jpg,에스오메프라졸마그네슘삼수화물,Esomeprazole Magnesium Dihydrate,"정제, 저작정",대원제약(주),Daewon Pharmaceutical,,,201402463,20140530,[02320]소화성궤양용제,전문의약품,671805710,연분홍색의 원형 필름코팅정,원형,3.7,7.9,7.9,20S,,분홍,,20140711,필름코팅정,20190912
57348,"[122, 861, 243, 236]",16547,3182,840,K-001900-016548-027926-033208_0_2_0_2_70_000_200.png,976,1280,K-001900-016548-027926-033208_0_2_0_2_70_000_200.png,K-016548,정상알약,연회색 배경,앞면,주백색,70,0,200,K-016548,가바토파정 100mg,Gabatopa Tab. 100mg,,토피라메이트,Topiramate,"정제, 저작정",동아에스티(주),Dong-A St,,,200500251,20050628,[01130]항전간제,전문의약품,"642500020,A01508461",,,0.0,0.0,0.0,,,,,,,
53562,"[621, 168, 237, 226]",16547,3181,839,K-001900-016548-027926-033208_0_2_0_2_90_000_200.png,976,1280,K-001900-016548-027926-033208_0_2_0_2_90_000_200.png,K-016548,정상알약,연회색 배경,앞면,주백색,90,0,200,K-016548,가바토파정 100mg,Gabatopa Tab. 100mg,,토피라메이트,Topiramate,"정제, 저작정",동아에스티(주),Dong-A St,,,200500251,20050628,[01130]항전간제,전문의약품,"642500020,A01508461",,,0.0,0.0,0.0,,,,,,,
189526,"[543, 675, 386, 491]",25366,1817,480,K-003483-025367-027777-036637_0_2_0_2_70_000_200.png,976,1280,K-003483-025367-027777-036637_0_2_0_2_70_000_200.png,K-025367,정상알약,연회색 배경,앞면,주백색,70,0,200,K-025367,자누메트정 50/850mg,JANUMET TAB 50/850,http://connectdi.com/design/img/drug/1NOwp2F6LFI.jpg,시타글립틴인산염수화물|메트포르민염산염,Metformin Hydrochloride| Sitagliptin Phosphate Hydrate,"정제, 저작정",한국엠에스디(주),Msd Korea,,,200901817,20090310,[03960]당뇨병용제,전문의약품,"655500760,E09060771",분홍색으로 한면에 515가 새겨진 타원형의 필름코팅정,타원형,7.0,20.53,10.08,515,,분홍,,20090617,필름코팅정,20181112
182952,"[81, 96, 378, 484]",25366,1818,478,K-003483-025367-027777-036637_0_2_0_2_90_000_200.png,976,1280,K-003483-025367-027777-036637_0_2_0_2_90_000_200.png,K-025367,정상알약,연회색 배경,앞면,주백색,90,0,200,K-025367,자누메트정 50/850mg,JANUMET TAB 50/850,http://connectdi.com/design/img/drug/1NOwp2F6LFI.jpg,시타글립틴인산염수화물|메트포르민염산염,Metformin Hydrochloride| Sitagliptin Phosphate Hydrate,"정제, 저작정",한국엠에스디(주),Msd Korea,,,200901817,20090310,[03960]당뇨병용제,전문의약품,"655500760,E09060771",분홍색으로 한면에 515가 새겨진 타원형의 필름코팅정,타원형,7.0,20.53,10.08,515,,분홍,,20090617,필름코팅정,20181112
34300,"[638, 296, 175, 196]",27776,1812,480,K-003483-025367-027777-036637_0_2_0_2_70_000_200.png,976,1280,K-003483-025367-027777-036637_0_2_0_2_70_000_200.png,K-027777,정상알약,연회색 배경,앞면,주백색,70,0,200,K-027777,카나브정 60mg,Kanarb Tab. 60mg,http://connectdi.com/design/img/drug/154333320801300056.jpg,피마사르탄칼륨삼수화물,Fimasartan Potassium Trihydrate,"정제, 저작정",보령제약(주),Boryung,,,201005501,20100909,[02140]혈압강하제,전문의약품,641905450,노란색의 한 면에 분할선이 있고 각 모서리가 둥근 육각형의 볼록한 필름코팅정제,육각형,4.0,8.0,4.0,B분할선R,FMS6,노랑,,20101230,필름코팅정,20210309
35175,"[179, 812, 175, 201]",27776,1810,478,K-003483-025367-027777-036637_0_2_0_2_90_000_200.png,976,1280,K-003483-025367-027777-036637_0_2_0_2_90_000_200.png,K-027777,정상알약,연회색 배경,앞면,주백색,90,0,200,K-027777,카나브정 60mg,Kanarb Tab. 60mg,http://connectdi.com/design/img/drug/154333320801300056.jpg,피마사르탄칼륨삼수화물,Fimasartan Potassium Trihydrate,"정제, 저작정",보령제약(주),Boryung,,,201005501,20100909,[02140]혈압강하제,전문의약품,641905450,노란색의 한 면에 분할선이 있고 각 모서리가 둥근 육각형의 볼록한 필름코팅정제,육각형,4.0,8.0,4.0,B분할선R,FMS6,노랑,,20101230,필름코팅정,20210309
48768,"[129, 829, 192, 254]",36636,1815,480,K-003483-025367-027777-036637_0_2_0_2_70_000_200.png,976,1280,K-003483-025367-027777-036637_0_2_0_2_70_000_200.png,K-036637,정상알약,연회색 배경,앞면,주백색,70,0,200,K-036637,로수젯정10/5밀리그램,Rosuzet Tab. 10/5mg,http://connectdi.com/design/img/drug/147427082737900159.jpg,로수바스타틴칼슘|에제티미브,Ezetimibe| Rosuvastatin Calcium,"정제, 저작정",한미약품(주),Hanmi Pharm,,,201503658,20150608,[02180]동맥경화용제,전문의약품,643507280,이 약은 연한 노란색의 장방형 필름코팅정제이다.,타원형,4.02,11.0,6.0,R5,분할선,노랑,,20150728,필름코팅정,20190805
46189,"[665, 181, 187, 247]",36636,1813,478,K-003483-025367-027777-036637_0_2_0_2_90_000_200.png,976,1280,K-003483-025367-027777-036637_0_2_0_2_90_000_200.png,K-036637,정상알약,연회색 배경,앞면,주백색,90,0,200,K-036637,로수젯정10/5밀리그램,Rosuzet Tab. 10/5mg,http://connectdi.com/design/img/drug/147427082737900159.jpg,로수바스타틴칼슘|에제티미브,Ezetimibe| Rosuvastatin Calcium,"정제, 저작정",한미약품(주),Hanmi Pharm,,,201503658,20150608,[02180]동맥경화용제,전문의약품,643507280,이 약은 연한 노란색의 장방형 필름코팅정제이다.,타원형,4.02,11.0,6.0,R5,분할선,노랑,,20150728,필름코팅정,20190805
57860,"[174, 275, 263, 220]",3482,1821,480,K-003483-025367-027777-036637_0_2_0_2_70_000_200.png,976,1280,K-003483-025367-027777-036637_0_2_0_2_70_000_200.png,K-003483,정상알약,연회색 배경,앞면,주백색,70,0,200,K-003483,기넥신에프정(은행엽엑스)(수출용),Ginexin-F Tab.,http://connectdi.com/design/img/drug/148609543321800170.jpg,은행엽건조엑스,Ginkgo Leaf Ext.,"정제, 저작정",에스케이케미칼(주),Sk Chemicals,,,199102014,19910906,[02190]기타의 순환계용약,일반의약품,"644700130,A18901361",진녹색의 타원형 필름 코팅정,장방형,3.9,11.1,6.1,SK,G40,초록,,20041222,필름코팅정,20200723
58830,"[565, 812, 265, 222]",3482,1820,478,K-003483-025367-027777-036637_0_2_0_2_90_000_200.png,976,1280,K-003483-025367-027777-036637_0_2_0_2_90_000_200.png,K-003483,정상알약,연회색 배경,앞면,주백색,90,0,200,K-003483,기넥신에프정(은행엽엑스)(수출용),Ginexin-F Tab.,http://connectdi.com/design/img/drug/148609543321800170.jpg,은행엽건조엑스,Ginkgo Leaf Ext.,"정제, 저작정",에스케이케미칼(주),Sk Chemicals,,,199102014,19910906,[02190]기타의 순환계용약,일반의약품,"644700130,A18901361",진녹색의 타원형 필름 코팅정,장방형,3.9,11.1,6.1,SK,G40,초록,,20041222,필름코팅정,20200723
